total_bats_pos,num_site,park,lab,ELMA_bat_tot,FS_bat_tot,PARA_bat_tot,CAVE_bat_tot,BLM_bat_tot,ELMA_bat_pos,FS_bat_pos,PARA_bat_pos,CAVE_bat_pos,BLM_bat_pos,
63,4,EFPC,denovo1099,52,38,37,17,19,33,15,11,4,0,
1,1,E,denovo11477,52,38,37,17,19,1,0,0,0,0,
5,3,EFC,denovo11494,52,38,37,17,19,1,1,0,3,0,
17,3,EFP,denovo1181,52,38,37,17,19,14,2,1,0,0,
13,3,EFP,denovo1233,52,38,37,17,19,3,3,7,0,0,
6,3,EFP,denovo1372,52,38,37,17,19,1,3,2,0,0,
20,4,EFPC,denovo14727,52,38,37,17,19,3,5,9,3,0,
2,2,EF,denovo15971,52,38,37,17,19,1,1,0,0,0,
8,3,EFP,denovo17415,52,38,37,17,19,5,2,1,0,0,
3,1,P,denovo17465,52,38,37,17,19,0,0,3,0,0,
1,1,F,denovo17485,52,38,37,17,19,0,1,0,0,0,
2,2,EP,denovo17654,52,38,37,17,19,1,0,1,0,0,
135,5,EFPCB,denovo179,52,38,37,17,19,53,29,36,15,1,134
1,1,C,denovo18348,52,38,37,17,19,0,0,0,1,0,
2,2,EF,denovo20190,52,38,37,17,19,1,1,0,0,0,
1,1,E,denovo21536,52,38,37,17,19,1,0,0,0,0,
1,1,E,denovo22209,52,38,37,17,19,1,0,0,0,0,
5,2,EB,denovo24261,52,38,37,17,19,,0,0,0,,
1,1,P,denovo24641,52,38,37,17,19,0,0,1,0,0,
1,1,E,denovo28886,52,38,37,17,19,1,0,0,0,0,
12,3,EPC,denovo2910,52,38,37,17,19,,0,,,0,
1,1,E,denovo29808,52,38,37,17,19,1,0,0,0,0,
162,5,EFPCB,denovo3,52,38,37,17,19,,,,,,
15,4,EFPC,denovo3134,52,38,37,17,19,,,,,,
3,3,ECB,denovo33145,52,38,37,17,19,1,0,0,1,1,
92,5,EFPCB,denovo3392,52,38,37,17,19,,,,,,
1,1,F,denovo34032,52,38,37,17,19,0,1,0,0,0,
25,5,EFPCB,denovo3607,52,38,37,17,19,,,,,,
9,4,EFPC,denovo3718,52,38,37,17,19,,,,,0,
9,3,EPC,denovo4007,52,38,37,17,19,,0,,,0,
9,2,EC,denovo4416,52,38,37,17,19,,0,0,,0,
23,4,EFPC,denovo4779,52,38,37,17,19,,,,,0,
7,3,EFP,denovo5113,52,38,37,17,19,,,,0,0,
49,5,EFPCB,denovo732,52,38,37,17,19,,,,,,
46,4,EFPC,denovo897,52,38,37,17,19,,,,,0,
1,1,P,denovo9889,52,38,37,17,19,0,0,1,0,0,