isolate,Inhibit_cat,inhibit_value,park_cult,winter_data,pident,num_bats_denovo,num_park_denovo,park_denovo
AC29_PARA69,High,45,PARA,denovo179,100,135,5,EFPCB
AC52_PCS218,Low,9.3,PARA,denovo179,100,135,5,EFPCB
AC136_PCS275,Low,0.7,PARA,denovo17654,98.5,2,2,EP
AC161_JC352,Low,10.3,ELMA,denovo1099,97.4,63,4,EFPC
AC162_JC353,Low,7,ELMA,denovo1099,97.3,63,4,EFPC
AC208_CLC399,Low,15,ELMA,,,,,
AC230_FW421,Low,7.3,ELMA,,,,,
AC241_TOR432,High,33.3,BLM,,,,,
AC245_TOR436,Low,10,BLM,denovo179,99.7,135,5,EFPCB
AC250_CRY441,Low,6.3,BLM,denovo179,100,135,5,EFPCB
AC260_CRY451,Medium,18.3,BLM,denovo179,99.7,135,5,EFPCB
AC313_FS504,Low,14.7,FS,denovo5113,99,7,3,EFP
AC331_FS522,Low,7,FS,denovo179,99.7,135,5,EFPCB
AC340_FSS531,Low,7.7,FS,,,,,
AC352_FSS552,Medium,17.3,FS,denovo179,99.1,135,5,EFPCB
AC363_FSS564,Low,8.7,FS,,,,,
AC367_FSS568,Low,14,FS,,,,,
AC373_FSS575,Low,7.7,FS,,,,,
AC469_CC789,Low,11.3,CAVE,,,,,
AC495_CC817,Medium,26.3,CAVE,,,,,
AC512_CC834,Medium,18.7,CAVE,,,,,
AC523_CC845,Medium,17.7,CAVE,denovo4416,97.8,9,2,EC
AC536_RSS858,High,37.7,CAVE,denovo3134,97.8,15,4,EFPC
AC538_RSS860,Medium,23.7,CAVE,,,,,
AC541_RSS863,High,38,CAVE,denovo3134,97.8,15,4,EFPC
AC542_RSS864,Low,10.7,CAVE,,,,,
AC550_RSS872,Low,4.3,CAVE,denovo17415,97.1,9,3,EFP
AC555_RSS877,Low,10.3,CAVE,denovo17415,99,9,3,EFP
AC558_RSS880,Medium,20,CAVE,denovo14727,97.3,20,4,EFPC
AC562_RSS884,High,30.3,CAVE,,,,,
AC563_RSS885,Medium,29.3,CAVE,denovo3134,97.8,15,4,EFPC
AC564_RSS886,High,45,CAVE,,,,,
AC569_RSS891,High,45,CAVE,denovo179,99.4,135,5,EFPCB
AC602_WCS936,Medium,25.3,CAVE,,,,,
AC627_RSS907,Medium,26,CAVE,,,,,
AC628_RSS909,Medium,27.7,CAVE,denovo3134,97.8,15,4,EFPC
AC668_ELMA1018,Low,13,ELMA,denovo179,99.7,135,5,EFPCB
AC686_ELMA1042,Medium,22,ELMA,denovo4779,98.7,23,4,EFPC
AC695_ELMA1055 ,High,41,ELMA,denovo179,99.7,135,5,EFPCB
AC739_ELMA1102,Low,4,ELMA,denovo1099,97,63,4,EFPC
AC745_ELMA1108,Medium,15.7,ELMA,denovo179,100,135,5,EFPCB
AC822_FS1190,Medium,18.3,FS,denovo179,100,135,5,EFPCB
AC825_FS1193,Low,11.3,FS,denovo1099,99.8,63,4,EFPC
AC826_FS1194,Low,8,FS,denovo20190,98,2,2,EF
AC880_FS1252,Medium,17,FS,denovo179,99.1,135,5,EFPCB
AC885_FS1258,Low,1.3,FS,denovo14727,98.5,20,4,EFPC
AC886_FS1259,Low,3,FS,denovo179,99.1,135,5,EFPCB
AC919_CHHQ1295,Medium,21.7,SEAZ,,,,,
AC931_CHHQ1310,Low,13.7,SEAZ,,,,,
AC942_CHHQ1324,High,39.3,SEAZ,,,,,
AC943_CHHQ1325,High,41.3,SEAZ,,,,,
AC945_CHHQ1327,High,40.3,SEAZ,,,,,
AC946_CHHQ1328,High,41.7,SEAZ,,,,,
AC960_CHHQ1346,Low,11.7,SEAZ,,,,,
AC976_CHHQ1362,Medium,23.7,SEAZ,,,,,
AC978_CHHQ1367,High,36,SEAZ,,,,,
AC1007_JC1406,Medium,15.2,ELMA,,,,,
AC1025_JC1424,High,37.7,ELMA,,,,,
AC1097_RSS1794,Low,13.7,CAVE,,,,,
AC1109_RSS1807,Low,3.3,CAVE,,,,,
AC1209_RSS2115,Medium,17,CAVE,,,,,
AC1216_RSS2128,Low,6.3,CAVE,,,,,
AC1268_FS2236,Low,10.7,FS,denovo5113,97.1,7,3,EFP
AC1273_FS2243,Low,3.7,FS,denovo179,97.8,135,5,EFPCB
AC1277_FS2248,Low,9.7,FS,denovo179,99.7,135,5,EFPCB
AC1278_FS2249,Low,7.7,FS,denovo179,99,135,5,EFPCB
AC1280_FS2253,Low,11.7,FS,denovo179,98.4,135,5,EFPCB
AC1287_FS2260,Low,5.3,FS,denovo179,98.1,135,5,EFPCB
AC1291_FS2264,Low,7,FS,denovo179,98.8,135,5,EFPCB
AC1314_PARA2468,Medium,17.7,PARA,denovo3718,99,9,4,EFPC
AC1321_PARA2479,Low,5.7,PARA,denovo17415,97.1,9,3,EFP
AC1322_PARA2480,Low,4,PARA,,,,,
AC1348_PARA2511,Low,2.3,PARA,denovo179,99.7,135,5,EFPCB
AC1360_PCS2524,Low,10.7,PARA,denovo29808,97.7,1,1,E
AC1389_AA2733,Low,8.3,ELMA,denovo5113,97.5,7,3,EFP
AC1391_AA2737,Low,11.7,ELMA,denovo179,99.7,135,5,EFPCB
AC1396_AA2746,Low,7.7,ELMA,denovo5113,97.5,7,3,EFP
AC1397_AA2747,Low,3.7,ELMA,denovo179,99.7,135,5,EFPCB
AC1403_AA2756,Low,8.7,ELMA,denovo5113,97.5,7,3,EFP
AC1411_AA2767,Low,3,ELMA,denovo1099,97,63,4,EFPC
AC1412_AA2768,Low,13.3,ELMA,denovo17465,97.3,3,1,P
AC1416_AA2774,Medium,20.3,ELMA,,,,,
AC1436_BRD2816,Low,3,ELMA,denovo1372,98.7,6,3,EFP
AC1439_AA2790,Medium,29.7,ELMA,denovo179,99.7,135,5,EFPCB
AC1468_EST2848,Low,12,ELMA,denovo897,100,46,4,EFPC
AC1470_EST2853,Medium,24.3,ELMA,denovo179,100,135,5,EFPCB
AC1473_EST2873,Low,2.7,ELMA,denovo1099,97.3,63,4,EFPC
AC1474_EST2874,Low,4,ELMA,,,,,
AC1480_EST2885,Medium,24,ELMA,,,,,
AC1481_EST2886,Low,4,ELMA,denovo17485,99.4,1,1,F
AC1482_EST2887,Low,4,ELMA,denovo1099,97,63,4,EFPC
AC1511_BW2917,Low,1.7,ELMA,denovo4007,97.3,9,3,EPC
AC1546_CC2371,Low,11.3,CAVE,,,,,
AC1603_CRY2940,High,42.3,BLM,denovo179,99.7,135,5,EFPCB
AC1638_TOR2983,High,45,BLM,denovo732,97.4,49,5,EFPCB
AC1670_CRY3189,Medium,21,BLM,denovo179,100,135,5,EFPCB
AC1739_TOR3292,High,35,BLM,,,,,